framework,nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
Android,hn-android,1650,584,664,402,25,454,122,21,26,19,23,3,0,0,12,2,517,204,3,1,11,0,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,593
Android,android-cubic-bezier-interpolator,20,11,9,0,8,2,2,1,1,1,4,2,0,0,1,1,2,2,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Android,EasyRefreshLayout,435,157,241,37,12,66,24,6,1,1,26,3,0,0,7,2,192,89,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
Android,OfflineSampleApp,294,93,181,20,11,191,65,4,2,1,25,2,0,0,8,1,29,11,2,1,15,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26
Android,AndroidPushNotificationsDemo,26,15,11,0,8,12,3,1,1,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Android,NumberPicker,280,52,221,7,11,79,3,26,1,1,26,3,0,0,5,2,66,17,1,1,35,0,35,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,42
Android,MVPvsMVVM,59,45,12,2,11,18,13,2,1,1,5,2,0,0,2,1,17,14,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Android,ToolbarPanel,78,52,22,4,11,9,8,2,1,1,7,3,0,0,2,2,28,22,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Android,MapNavigator,45,24,21,0,8,18,5,2,0,0,0,0,0,0,2,1,10,9,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Android,Bigbang,2592,643,1816,133,21,1226,275,4,11,9,57,6,0,0,83,5,838,183,1,1,12,0,12,0,0,101,9,0,0,0,0,0,0,0,0,0,0,0,342
Android,NewXmPluginSDK,2242,833,1210,199,29,696,198,2,152,27,46,11,0,0,17,9,249,196,2,1,169,0,169,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,924
Android,QqDecrpt,55,48,7,0,11,9,9,2,1,1,2,2,0,0,1,1,14,14,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Android,frostwire,22599,4168,17162,1269,52,13626,2038,53,109,39,492,4,0,0,448,3,4315,529,6,2,29,0,29,0,0,443,8,2,2,0,0,0,0,0,0,0,0,0,3524
Android,material-sheet-fab,234,95,137,2,12,61,30,1,1,1,27,4,0,0,3,2,52,19,1,1,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Android,OpenGraphView,202,78,112,12,13,89,31,18,1,1,26,3,0,0,3,2,38,18,1,1,7,0,7,0,0,0,0,0,0,0,1,1,0,0,6,6,0,0,15
Android,HorizontalPicker,172,41,127,4,11,35,2,20,4,1,22,3,0,0,3,2,39,13,1,1,30,0,30,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,19
Android,Pokemap,152,96,18,38,11,9,7,2,1,1,5,2,0,0,2,1,91,50,1,1,7,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36
Android,RecyclerTabLayout,423,259,163,1,14,66,22,26,1,1,23,3,0,0,6,2,46,22,1,1,47,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,210
Android,LowPoly,73,49,16,8,13,10,6,2,1,1,5,3,0,0,2,2,23,16,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Android,Applozic-Android-SDK,7204,1140,5809,255,20,3866,360,10,10,3,571,6,0,0,130,5,1216,191,2,1,369,0,369,0,0,3,2,0,0,72,0,0,0,0,0,0,39,2,1118
Android,PasswordEditText,2432,1199,71,1162,21,29,9,4,29,15,22,3,0,0,27,14,944,471,1,1,21,0,21,0,0,18,9,0,0,0,0,0,0,0,0,0,260,130,1104
Android,TextFieldBoxes,619,133,465,21,12,140,14,5,1,1,38,4,0,0,3,2,192,31,1,1,106,0,106,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,130
Android,diva-android,82,81,1,0,15,21,21,2,1,1,2,2,0,0,1,1,35,35,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Android,sqlite-android,383,76,303,4,13,127,38,10,8,1,74,2,0,0,2,1,4,2,3,1,70,0,70,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,87
Android,rave,751,202,541,8,10,576,160,26,1,1,63,5,0,0,2,1,23,15,0,0,34,0,34,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,27
Android,SwipeToDismissNOA,20,10,10,0,7,8,4,0,2,1,0,0,0,0,0,0,3,2,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Android,TarsosDSP,2422,739,1233,450,15,1457,570,0,41,22,0,0,9,2,0,0,67,15,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,845
Android,RichPath,214,84,124,6,12,77,24,3,1,1,13,4,0,0,4,3,55,26,1,1,22,0,22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41
Android,CustomizableCalendar,208,90,113,5,12,104,53,3,1,1,11,4,0,0,7,3,51,28,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Android,BabushkaText,62,54,8,0,12,3,2,2,2,2,3,3,0,0,2,2,20,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Android,PhotoBrowse,159,70,82,7,13,21,12,4,1,1,24,3,0,0,3,2,23,19,1,1,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Android,init,100,49,51,0,8,48,20,4,0,0,4,4,0,0,2,2,8,8,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
