framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,wusp/IndicatorBox,45,40,45,36,284,2,261,16,0,0,0,0,87,4,13,401,0,405,401,225,405,0,4,48,33,320,0,4183,501,3400,1097,1923,286,0,0,0,1849,2445,1122,1323,0,0,0,0,0,111,100,134,45,0,0,33,0,0,0,1,624,567,553,607,412,40
Android,athkalia/Just-Another-Android-App,92,91,93,88,439,17,369,40,0,0,0,0,108,39,67,343,0,365,312,109,351,0,28,37,35,251,0,4993,1001,3464,2136,1063,542,0,0,0,1793,2283,1650,633,0,0,0,0,0,129,126,136,90,0,0,36,0,0,0,37,1260,410,406,418,349,133
Android,darsh2/MultipleImageSelect,14,14,15,11,99,11,83,2,0,0,0,0,26,0,14,79,0,79,79,42,79,0,0,20,19,40,0,1245,213,958,343,511,74,0,0,0,528,684,322,362,0,0,0,0,0,36,36,41,19,0,0,12,0,0,0,0,218,152,146,162,87,12
Android,52inc/Scoops,55,55,56,44,324,21,272,16,0,0,0,0,64,26,37,265,0,282,256,90,282,0,36,40,7,199,0,4264,786,2769,1411,1172,715,0,0,0,1475,1962,1181,781,0,0,0,0,0,123,123,131,68,0,0,38,0,0,0,2,1128,434,434,454,297,48
Android,hudomju/android-swipe-to-dismiss-undo,8,8,9,7,48,0,42,2,0,0,0,0,28,0,4,79,0,92,92,33,92,0,17,7,3,65,0,1028,145,730,289,368,157,0,0,0,371,499,271,228,0,0,0,0,0,34,31,48,21,0,0,6,0,0,0,3,81,120,117,138,93,9
Android,JeroenMols/LandscapeVideoCamera,33,33,33,28,159,5,146,1,0,0,0,0,38,5,71,309,0,312,313,94,318,0,5,53,13,247,0,3985,695,2748,1318,1409,553,0,0,0,1599,2047,1091,956,0,0,0,0,0,70,68,71,40,0,0,18,0,0,0,20,862,438,432,440,327,32
Android,jshvarts/DaggerAndroidMVVM,13,13,13,13,50,1,45,2,0,0,0,0,17,3,0,41,0,44,39,21,42,0,18,6,2,16,0,477,111,337,205,79,29,0,0,0,169,224,162,62,0,0,0,0,0,18,16,18,13,0,0,3,0,0,0,0,202,46,44,46,41,16
Android,nekocode/DividerDrawable,4,4,4,4,111,4,107,0,0,0,0,0,7,7,13,49,0,49,42,14,49,0,2,5,1,41,0,589,85,447,153,257,57,0,0,0,208,281,127,154,0,0,0,0,0,11,11,13,4,0,0,5,0,0,0,0,65,71,71,73,49,4
Android,nrohmen/Clean-Android-Code,14,14,14,13,81,3,62,10,0,0,0,0,28,0,3,70,0,79,79,32,79,0,10,1,1,67,0,876,185,586,325,200,105,0,0,0,301,399,278,121,0,0,0,0,0,19,19,19,18,0,0,2,0,0,0,0,377,81,81,84,77,16
Android,yingLanNull/ScrollLayout,17,17,19,15,93,0,81,7,0,0,0,0,43,2,10,141,0,142,144,61,146,0,5,15,9,117,0,1843,219,1404,466,768,225,0,0,0,665,976,434,542,0,0,0,0,0,55,52,60,41,0,0,21,0,0,0,0,333,294,284,317,216,15
Android,anton46/WhatsApp-ProfileCollapsingToolbar,8,8,9,6,40,3,37,0,0,0,0,0,6,2,1,20,0,20,18,15,20,0,0,2,3,15,0,287,62,213,106,85,12,0,0,0,120,159,92,67,0,0,0,0,0,15,15,17,6,0,0,3,0,0,0,0,81,33,33,37,20,6
Android,liuyanggithub/SuperMvp,69,68,70,60,454,15,332,92,0,0,0,0,102,66,35,507,0,539,475,204,541,0,33,48,36,424,0,6158,874,3709,1677,1556,1653,0,0,0,1855,2615,1545,1070,0,0,0,0,0,125,120,135,72,0,0,51,0,0,0,36,2510,690,683,712,534,66
Android,pestrada/android-tdd-playground,4,4,4,4,17,0,17,0,0,0,0,0,5,0,0,7,0,7,7,2,7,0,0,0,1,6,0,101,17,75,49,19,9,0,0,0,41,52,42,10,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,78,7,7,7,7,4
Android,Yalantis/StarWars.Android,41,40,41,26,342,47,256,29,0,0,0,0,52,15,31,175,0,186,171,122,186,0,16,26,8,136,0,2785,530,2017,925,1055,244,0,0,0,1255,1557,875,682,0,0,0,0,0,72,68,73,28,0,0,25,0,0,0,1,881,281,270,286,177,35
Android,SaeedMasoumi/FAB-Loading,4,4,4,3,23,1,18,2,0,0,0,0,9,0,5,36,0,39,39,29,39,0,5,4,2,28,0,491,65,361,128,203,72,0,0,0,203,274,120,154,0,0,0,0,0,15,13,15,3,0,0,3,0,0,0,0,70,74,68,78,36,3
Android,aosp-mirror/platform_packages_apps_contacts,691,667,782,472,4384,137,3500,534,0,0,0,0,1009,756,1567,5723,0,5940,5196,1983,5952,0,246,982,567,4157,0,96663,12523,66228,25049,38125,18578,0,0,0,34461,46393,22225,24168,0,0,0,0,0,2191,2045,2533,1115,0,0,641,0,0,0,145,15586,11603,11313,12870,7285,436
