framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-mutilDatasource/target/classes/META-INF/maven/1.0.0/springboot-mutilDatasource/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-restful/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-swagger/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-swagger/target/classes/META-INF/maven/com.pancm/springboot-swagger/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-task/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-thymeleaf/pom.xml,1.5.9.RELEASE,,,,,,
Spring,dangdangdotcom/config-toolkit,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dangdangdotcom/config-toolkit/config-face/pom.xml,2.0.0.RELEASE,,,,,,
Spring,tim232385/WebVideoBot,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tim232385/WebVideoBot/pom.xml,2.0.0.RELEASE,,,,,,
Spring,apache/dubbo-admin,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/apache/dubbo-admin/dubbo-admin/pom.xml,2.0.2.RELEASE,,,,,,
Spring,yu199195/myth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yu199195/myth/pom.xml,2.0.2.RELEASE,,,,,,
Spring,Zoctan/spring-boot-vue-admin,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Zoctan/spring-boot-vue-admin/api/pom.xml,2.0.2.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/springboot-dubbo/consumer/pom.xml,2.0.3.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/springboot-dubbo/pom.xml,2.0.3.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/springboot-dubbo/privoder/pom.xml,2.0.3.RELEASE,,,,,,
Spring,binarywang/weixin-java-miniapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/binarywang/weixin-java-miniapp-demo/pom.xml,2.0.4.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/miaosha-order/pom.xml,2.0.4.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-limit/pom.xml,2.0.4.RELEASE,,,,,,
Spring,sanshengshui/netty-learning-example,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sanshengshui/netty-learning-example/netty-iot/pom.xml,2.0.5.RELEASE,,,,,,
Spring,sanshengshui/netty-learning-example,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sanshengshui/netty-learning-example/netty-kafka/pom.xml,2.0.5.RELEASE,,,,,,
Spring,sanshengshui/netty-learning-example,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sanshengshui/netty-learning-example/netty-rpc/pom.xml,2.0.5.RELEASE,,,,,,
Spring,sanshengshui/netty-learning-example,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sanshengshui/netty-learning-example/netty-springboot-protobuf/pom.xml,2.0.5.RELEASE,,,,,,
