framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,AppLozic/Applozic-Android-SDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AppLozic/Applozic-Android-SDK/mobicomkit/build.gradle,14,rootProject.hasProperty("targetSdkVersion") ? rootProject.targetSdkVersion : defaultTargetSdkVersion,rootProject.hasProperty("compileSdkVersion") ? rootProject.compileSdkVersion : defaultCompileSdkVersion
Android,AppLozic/Applozic-Android-SDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AppLozic/Applozic-Android-SDK/app/build.gradle,14,rootProject.hasProperty("targetSdkVersion") ? rootProject.targetSdkVersion : defaultTargetSdkVersion,rootProject.hasProperty("compileSdkVersion") ? rootProject.compileSdkVersion : defaultCompileSdkVersion
Android,AppLozic/Applozic-Android-SDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AppLozic/Applozic-Android-SDK/mobicommons/build.gradle,14,rootProject.hasProperty("targetSdkVersion") ? rootProject.targetSdkVersion : defaultTargetSdkVersion,rootProject.hasProperty("compileSdkVersion") ? rootProject.compileSdkVersion : defaultCompileSdkVersion
Android,AppLozic/Applozic-Android-SDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AppLozic/Applozic-Android-SDK/mobicomkitui/build.gradle,14,rootProject.hasProperty("targetSdkVersion") ? rootProject.targetSdkVersion : defaultTargetSdkVersion,rootProject.hasProperty("compileSdkVersion") ? rootProject.compileSdkVersion : defaultCompileSdkVersion
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/build.gradle,information not found,information not found,information not found
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/library/build.gradle,9,25,25
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/sample/build.gradle,15,25,25
Android,HITGIF/TextFieldBoxes,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/HITGIF/TextFieldBoxes/build.gradle,information not found,information not found,information not found
Android,HITGIF/TextFieldBoxes,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/HITGIF/TextFieldBoxes/textfieldboxes/build.gradle,15,28,28
Android,HITGIF/TextFieldBoxes,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/HITGIF/TextFieldBoxes/sample/build.gradle,15,28,28
